y,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,"[5181, 2980, 2654]","[5280, 2712, 3923]","[5181, 2980, 2654]","[5181, 2980, 2654]","[5060, 3061, 2654]","[5181, 2980, 2654]","[5181, 2980, 2654]","[5181, 2980, 2654]","[5181, 2980, 2654]","[5181, 2980, 2654]","[5181, 1288, 1912]","[5181, 1288, 1912]","[5181, 1288, 2923]","[5181, 1288, 2923]","[5181, 1288, 2923]"
0,"[4084, 2268, 3280]","[4084, 2268, 3280]","[4084, 2268, 3280]","[4084, 2268, 3280]","[4084, 2268, 3280]","[4084, 2268, 3280]","[4084, 2268, 3280]","[4084, 2268, 3280]","[4084, 2268, 3280]","[4084, 2268, 3280]","[4084, 2268, 3280]","[4084, 2268, 3280]","[4084, 2268, 3280]","[4084, 2268, 3280]","[4084, 2268, 3280]"
0,"[80, 193, 396]","[80, 193, 396]","[80, 193, 396]","[80, 193, 396]","[80, 193, 396]","[80, 193, 396]","[80, 193, 396]","[80, 193, 396]","[80, 193, 396]","[80, 193, 396]","[80, 193, 396]","[80, 193, 396]","[80, 193, 396]","[80, 193, 396]","[80, 193, 396]"
0,"[2492, 1263, 1431]","[2492, 1263, 1431]","[2492, 1263, 1431]","[2492, 1263, 1431]","[2492, 1263, 1431]","[2492, 1263, 1431]","[2492, 1263, 1431]","[2492, 1263, 1431]","[2492, 1263, 1431]","[2492, 1263, 1431]","[2492, 1263, 1431]","[2492, 1263, 1431]","[2492, 1263, 1431]","[2492, 1263, 1431]","[2492, 1263, 1431]"
0,"[2742, 2103, 4377]","[2742, 2103, 4377]","[2742, 2103, 4377]","[1564, 2042, 4377]","[2742, 2103, 4377]","[2742, 2103, 4377]","[2742, 2103, 4377]","[2742, 2103, 4377]","[2742, 2103, 4377]","[2742, 2103, 4377]","[2742, 2103, 4377]","[2742, 2103, 4377]","[636, 526, 3499]","[636, 526, 3499]","[636, 526, 3499]"
0,"[3411, 876, 1977]","[3411, 876, 1977]","[3411, 876, 1977]","[3411, 876, 1977]","[3411, 876, 1977]","[3411, 876, 1977]","[3411, 876, 1977]","[3411, 876, 1977]","[3411, 876, 1977]","[3411, 876, 1977]","[3411, 876, 1977]","[3411, 876, 1977]","[2904, 197, 1977]","[2904, 197, 1977]","[2904, 197, 1977]"
0,"[270, 4821, 5775]","[270, 4821, 5775]","[270, 4821, 5775]","[270, 4821, 5775]","[270, 4821, 5775]","[270, 4821, 5775]","[270, 4821, 5775]","[270, 4821, 5775]","[270, 4821, 5775]","[270, 4821, 5775]","[270, 4821, 5775]","[270, 4821, 5775]","[270, 4821, 5775]","[270, 4821, 5775]","[270, 4821, 5775]"
0,"[1138, 5871, 6332]","[1138, 5871, 6332]","[1138, 5871, 6332]","[1138, 5871, 6332]","[1138, 5871, 6332]","[1138, 5871, 6332]","[1138, 5871, 6332]","[1138, 5871, 6332]","[1138, 5871, 6332]","[1243, 5142, 5606]","[1138, 5871, 6332]","[1138, 5871, 6332]","[1138, 5871, 6332]","[1138, 5871, 6332]","[1138, 5871, 6332]"
0,"[7011, 3534, 2482]","[7011, 3534, 2482]","[7011, 3534, 763]","[7011, 3534, 2482]","[7011, 3534, 2482]","[7011, 3534, 763]","[7011, 3534, 763]","[7011, 3534, 763]","[7011, 3534, 763]","[7011, 3534, 763]","[7011, 3534, 763]","[7011, 3534, 763]","[7011, 3534, 763]","[7011, 3534, 763]","[7011, 3534, 763]"
0,"[3534, 2482, 1777]","[3534, 2482, 1777]","[3534, 2482, 1777]","[3534, 2482, 1777]","[3534, 763, 975]","[3534, 763, 975]","[3534, 763, 975]","[3534, 763, 975]","[3534, 763, 975]","[3534, 763, 975]","[3534, 763, 975]","[3534, 763, 975]","[3534, 763, 975]","[3534, 763, 975]","[3534, 763, 975]"
0,"[2322, 2063, 1838]","[2322, 2063, 1838]","[2322, 2063, 1838]","[2322, 2063, 1838]","[2322, 2063, 1838]","[2322, 2063, 1838]","[2322, 2063, 1838]","[3432, 402, 854]","[2322, 2063, 1838]","[2322, 2063, 1838]","[2322, 2063, 1838]","[2322, 2063, 1838]","[2322, 2063, 1838]","[2322, 2063, 1838]","[2322, 2063, 1838]"
0,"[5455, 3399, 2212]","[5455, 3399, 2212]","[5455, 3399, 2212]","[5455, 3399, 2212]","[5455, 3399, 2212]","[5455, 3399, 2212]","[5455, 3399, 2212]","[5455, 3399, 2212]","[5455, 3399, 2212]","[5455, 3399, 2212]","[5455, 3399, 2212]","[5455, 3399, 2212]","[5455, 3399, 2212]","[5455, 3399, 2212]","[5455, 3399, 2212]"
0,"[3399, 1562, 844]","[3399, 1562, 844]","[3399, 1562, 844]","[3399, 1562, 844]","[3399, 1562, 844]","[3399, 1562, 844]","[3399, 1562, 844]","[3399, 1562, 844]","[3399, 1562, 844]","[3399, 1562, 844]","[3399, 1562, 844]","[3399, 1562, 844]","[3399, 1562, 844]","[3399, 1562, 844]","[3399, 1562, 844]"
0,"[1983, 416, 790]","[1983, 416, 790]","[1983, 416, 790]","[1983, 416, 790]","[1983, 416, 790]","[1983, 416, 790]","[1983, 416, 790]","[1983, 416, 790]","[1983, 416, 790]","[1983, 416, 790]","[1983, 416, 790]","[1983, 416, 790]","[1983, 416, 790]","[1983, 416, 790]","[1983, 416, 790]"
0,"[855, 4814, 5771]","[855, 4814, 5771]","[855, 4814, 5771]","[855, 4814, 5771]","[855, 4814, 5771]","[855, 4814, 5771]","[855, 4814, 5771]","[855, 4814, 5771]","[855, 4814, 5771]","[855, 4814, 5771]","[855, 4814, 5771]","[855, 4814, 5771]","[855, 4814, 5771]","[855, 4814, 5771]","[855, 4814, 5771]"
0,"[6175, 5389, 3836]","[6175, 5389, 3836]","[6175, 5389, 3836]","[6175, 5389, 3836]","[6175, 5389, 3836]","[6175, 5389, 3836]","[6175, 5389, 3836]","[6175, 5389, 3836]","[6175, 5389, 3836]","[6175, 5389, 5703]","[6175, 5389, 3836]","[6175, 5389, 5703]","[6175, 5389, 5703]","[6175, 5389, 5703]","[6175, 5389, 5703]"
0,"[3858, 6175, 5389]","[3858, 6175, 5389]","[3858, 6175, 5389]","[3858, 6175, 5389]","[3858, 6175, 5389]","[3858, 6175, 5389]","[3858, 6175, 5389]","[3858, 6175, 5389]","[3858, 6175, 5389]","[3858, 6175, 5389]","[3858, 6175, 5389]","[3858, 6175, 5389]","[3858, 6175, 5389]","[3858, 6175, 5389]","[3858, 6175, 5389]"
0,"[1139, 156, 1257]","[1139, 156, 1257]","[1139, 156, 1257]","[1139, 156, 1257]","[1139, 156, 1257]","[1139, 156, 1257]","[1139, 156, 1257]","[1139, 156, 1257]","[1139, 156, 1257]","[1139, 156, 1257]","[1139, 51, 1217]","[1139, 51, 1217]","[1139, 51, 1217]","[1139, 51, 1217]","[1139, 51, 1217]"
0,"[2234, 1996, 2173]","[2234, 1996, 2173]","[2234, 1996, 2173]","[2234, 1996, 2173]","[2234, 1996, 2173]","[2234, 1996, 2173]","[2234, 1996, 2173]","[2234, 1996, 2173]","[2234, 1996, 2173]","[2234, 1996, 2173]","[2234, 1996, 2173]","[2234, 1996, 2173]","[2234, 1996, 2173]","[2234, 1996, 2173]","[2234, 1996, 2173]"
0,"[2178, 2466, 1626]","[2178, 2466, 1626]","[2178, 2466, 1626]","[2178, 2466, 1626]","[2178, 2466, 1626]","[2178, 2466, 1626]","[2178, 2466, 1626]","[2178, 2466, 1626]","[2178, 2466, 1626]","[2178, 2466, 1626]","[2178, 2466, 1626]","[2178, 2466, 1626]","[2178, 2466, 1626]","[2178, 2466, 1626]","[2178, 2466, 1626]"
0,"[82, 392, 778]","[82, 392, 778]","[82, 392, 778]","[82, 392, 778]","[82, 392, 778]","[82, 392, 778]","[82, 392, 778]","[82, 392, 778]","[82, 392, 778]","[82, 392, 778]","[82, 392, 778]","[82, 392, 778]","[82, 392, 778]","[82, 392, 778]","[82, 392, 778]"
0,"[4100, 1812, 40]","[4100, 1812, 40]","[4100, 1812, 40]","[4100, 1812, 40]","[4100, 1812, 40]","[4100, 1812, 40]","[4100, 1812, 40]","[4100, 1812, 40]","[4100, 1812, 40]","[4100, 1812, 40]","[4100, 1812, 40]","[4100, 1812, 40]","[4100, 1812, 40]","[4100, 1812, 40]","[4100, 1812, 40]"
0,"[4895, 4766, 5321]","[4895, 4766, 5321]","[4895, 4766, 5321]","[4895, 4766, 5321]","[4895, 4766, 5321]","[4895, 4766, 5321]","[4895, 4766, 5321]","[4895, 4766, 5321]","[4895, 4766, 5321]","[4895, 4766, 5321]","[4895, 4766, 5321]","[4895, 4766, 5321]","[4895, 4766, 5321]","[4895, 4766, 5321]","[4895, 4766, 5321]"
0,"[1730, 5377, 5674]","[1730, 5377, 5674]","[1730, 5377, 5674]","[1730, 5377, 5674]","[1730, 5377, 5674]","[1730, 5377, 5674]","[1730, 5377, 5674]","[1730, 5377, 5674]","[1730, 5377, 5674]","[1730, 5377, 5674]","[1730, 5377, 5674]","[1730, 5377, 5674]","[1730, 5377, 5674]","[1730, 5377, 5674]","[1730, 5377, 5674]"
0,"[1224, 650, 1713]","[1224, 650, 1713]","[1224, 650, 1713]","[1224, 650, 1713]","[583, 650, 1713]","[1193, 837, 2271]","[583, 650, 1713]","[583, 650, 1713]","[583, 650, 1713]","[583, 650, 1713]","[583, 650, 1713]","[583, 650, 1713]","[583, 650, 1713]","[583, 650, 1713]","[583, 650, 1713]"
0,"[790, 4001, 4182]","[790, 4001, 4182]","[790, 4001, 4182]","[790, 4001, 4182]","[790, 4001, 4182]","[790, 4001, 4182]","[790, 4001, 4182]","[790, 4001, 4182]","[790, 4001, 4182]","[790, 4001, 4182]","[790, 4001, 4182]","[790, 4001, 4182]","[790, 4001, 4182]","[790, 4001, 4182]","[790, 4001, 4182]"
0,"[193, 396, 417]","[193, 396, 417]","[193, 396, 417]","[193, 396, 417]","[193, 396, 417]","[193, 396, 417]","[193, 396, 417]","[193, 396, 417]","[193, 396, 417]","[193, 396, 417]","[193, 396, 417]","[193, 396, 417]","[193, 396, 417]","[193, 396, 417]","[193, 396, 417]"
0,"[445, 156, 133]","[445, 156, 133]","[445, 156, 133]","[445, 156, 3566]","[445, 156, 133]","[445, 156, 133]","[445, 156, 133]","[445, 156, 133]","[445, 156, 133]","[445, 156, 133]","[445, 156, 133]","[445, 156, 133]","[445, 156, 3566]","[445, 156, 3566]","[445, 156, 3566]"
0,"[5854, 7208, 7056]","[5854, 7208, 7056]","[5854, 7208, 7056]","[5854, 7208, 7056]","[5854, 7208, 7056]","[5854, 7208, 7056]","[5854, 7208, 7056]","[5854, 7208, 7056]","[5854, 7208, 7056]","[5854, 7208, 7056]","[5854, 7208, 7056]","[5854, 7208, 7056]","[5854, 7208, 7056]","[5854, 7208, 7056]","[5854, 7208, 7056]"
0,"[445, 156, 133]","[445, 156, 133]","[445, 156, 133]","[445, 156, 133]","[445, 156, 133]","[445, 156, 133]","[445, 156, 133]","[445, 156, 133]","[445, 156, 133]","[445, 156, 133]","[445, 156, 133]","[445, 156, 3566]","[445, 156, 3566]","[445, 156, 3566]","[445, 156, 3566]"
0,"[1304, 650, 79]","[1304, 650, 79]","[1304, 650, 79]","[1304, 650, 79]","[1304, 650, 79]","[1304, 650, 79]","[1304, 650, 79]","[1304, 650, 79]","[1304, 650, 79]","[1304, 650, 79]","[1304, 650, 79]","[1304, 650, 79]","[1304, 650, 79]","[1304, 650, 79]","[1304, 650, 79]"
0,"[5196, 5020, 6500]","[5196, 5020, 6500]","[5196, 5020, 6500]","[5196, 5020, 6500]","[5196, 5020, 6500]","[5196, 5020, 6500]","[5196, 5020, 6500]","[5196, 5020, 6500]","[5196, 5020, 6500]","[5196, 5020, 6500]","[5196, 5020, 6500]","[5196, 5020, 6500]","[5196, 5020, 6500]","[5196, 5020, 6500]","[5196, 5020, 6500]"
0,"[3699, 2168, 1220]","[3751, 2129, 880]","[3699, 2168, 1220]","[3699, 2168, 1220]","[3699, 2168, 1220]","[3699, 2168, 1220]","[3699, 2168, 1220]","[3699, 2168, 1220]","[3699, 2168, 1220]","[3699, 2168, 1220]","[3699, 2168, 1220]","[3699, 2168, 1220]","[3699, 2168, 1220]","[3699, 2168, 1220]","[3699, 2168, 1220]"
0,"[603, 5854, 7208]","[603, 5854, 7208]","[603, 5854, 7208]","[603, 5854, 7208]","[603, 5854, 7208]","[603, 5854, 7208]","[603, 5854, 7208]","[603, 5854, 7208]","[603, 5854, 7208]","[603, 5854, 7208]","[603, 5854, 7208]","[603, 5854, 7208]","[603, 5854, 7208]","[603, 5854, 7208]","[603, 5854, 7208]"
